index;SpType;RA;DEC;B;V;RV;Teff;e_Teff;log(g);e_log(g);[Fe/H];e_[Fe/H];lum;misc;PHYSREF;NAMES
HD100446;F8;173.52916666666667;65.24252777777778;8.2;7.22;-30.9;6087.0;37.0;4.22;0.06;-0.45;0.06;;;2000A&AS..141..491C (Chen);HD 100446 BD+66 724 SAO 15554 HIP 56423
HD100470;K0III;173.48333333333332;36.81561111111111;7.43;6.39;18.0;4714.0;23.0;2.58;0.08;-0.17;0.05;III;;1986A&A...161..314C (Cottrell);HD 100470 BD+37 2195 SAO 62604 HR 4452 HIP 56410
HD100563;F5V;173.59166666666667;3.0601666666666665;6.23;5.7;3.0;6404.0;57.0;4.22;0.08;0.04;0.07;V;;2000A&AS..141..491C (Chen);HD 100563 BD+03 2521 SAO 118929 HR 4455 HIP 56445
HD100696;K0III;174.0125;69.32294444444445;6.16;5.2;-2.2;4896.0;26.0;2.5;0.08;-0.34;0.06;III;;Jones..Coude.Feed.Library;HD 100696 BD+70 670 SAO 15567 HR 4461 HIP 56583
HD100889;B9.5Vn;174.17083333333332;-9.80225;4.63;4.68;1.0;10563.0;116.0;3.83;0.07;-0.27;0.07;V;n;IRAF Standard;HD 100889 BD-08 3202 SAO 138296 HR 4468 HIP 56633
HD100920;G9III;174.2375;-0.82375;5.28;4.31;1.0;4877.0;23.0;2.55;0.07;-0.2;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 100920 BD-00 2458 SAO 138298 HR 4471 HIP 56647
HD101484;K0III;175.19583333333333;21.352722222222223;6.23;5.27;9.3;4919.0;29.0;2.8;0.08;0.02;0.06;III;;Jones..Coude.Feed.Library;HD 101484 BD+22 2391 SAO 81941 HR 4495 HIP 56975
HD101501;G8V;175.2625;34.201638888888894;6.05;5.32;-5.4;5586.0;27.0;4.6;0.05;0.03;0.05;V;;1984Ap&SS.105...55C (Cornide);HD 101501 BD+35 2270 SAO 62655 HR 4496 HIP 56997
HD101673;K3III;175.61666666666667;66.74491666666667;6.6;5.32;3.4;4376.0;24.0;1.97;0.1;-0.13;0.06;III;;Jones..Coude.Feed.Library;HD 101673 BD+67 714 SAO 15606 HR 4504 HIP 57111
HD101676;F6V;175.51666666666668;12.284916666666666;7.53;7.09;;6197.0;38.0;4.14;0.06;-0.43;0.06;V;;2000A&AS..141..491C (Chen);HD 101676 BD+13 2443 SAO 99743 HIP 57080
HD102070;G8III;176.19166666666666;-18.35066666666667;5.67;4.72;-4.6;5028.0;30.0;2.57;0.08;0.03;0.07;III;;1990ApJS...74.1075M (McWilliam);HD 102070 BD-17 3460 SAO 156869 HR 4514 HIP 57283
HD102212;M1III;176.46666666666667;6.529388888888889;5.58;4.05;50.7;3738.0;6.0;1.55;0.1;-0.41;0.05;III;;1992A&AS...95..273C (Cayrel);HD 102212 BD+07 2479 SAO 119035 HR 4517 HIP 57380
HD102224;K0.5IIIb;176.5125;47.77941666666666;4.91;3.71;-8.8;4462.0;20.0;2.05;0.08;-0.38;0.05;III;b;1995AJ....110.2968L (Luck);HD 102224 BD+48 1966 SAO 43886 HR 4518 HIP 57399 NGP 48 21
HD102328;K3III;176.73333333333332;55.628194444444446;6.55;5.26;1.7;4389.0;21.0;2.59;0.1;0.3;0.05;III;;1995AJ....110.2968L (Luck);HD 102328 BD+56 1544 SAO 28142 HR 4521 HIP 57477
HD102574;F7V;177.09583333333333;-10.313111111111112;6.79;6.25;;5973.0;34.0;3.89;0.06;0.18;0.05;V;;1993A&A...275..101E (Edvardsson);HD 102574 BD-09 3366 SAO 156896 HR 4529 HIP 57587
HD102634;F7V;177.25416666666666;-0.3186666666666666;6.67;6.15;4.0;6210.0;34.0;4.1;0.06;0.16;0.04;V;;1993A&A...275..101E (Edvardsson);HD 102634 BD+00 2843 SAO 138420 HR 4533 HIP 57629
HD102870;F9V;177.675;1.7647222222222223;4.16;3.61;4.6;6071.0;30.0;4.05;0.06;0.13;0.04;V;;1993A&A...275..101E (Edvardsson);HD 102870 BD+02 2489 SAO 119076 HR 4540 HIP 57757
HD103047;K0;177.99166666666667;8.83;8.3;7.34;;5000.0;26.0;3.38;0.06;0.06;0.05;;;Jones..Coude.Feed.Library;HD 103047 BD+09 2553 SAO 119084 HIP 57858
HD103287;A0V;178.45833333333334;53.69475;2.47;2.43;-12.6;9361.0;139.0;3.85;0.07;-0.44;0.09;V;;;HD 103287 BD+54 1475 SAO 28179 HR 4554 HIP 58001
HD104304;G9IV;180.1833333333333;-10.446;6.32;5.54;0.4;5546.0;32.0;4.33;0.06;0.31;0.05;IV;;1972MmRAS..77...55H (Hearnshaw);HD 104304 BD-09 3413 SAO 157041 HR 4587 HIP 58576
HD104783;G5III;181.02083333333331;37.99972222222223;9.91;9.16;-54.0;5103.0;91.0;2.63;0.25;-0.68;0.22;III;;2001A&A...380..578T (Tautvaisiene);HD 104783 BD+38 2297 SAO 62821 HIP 58839 NGP 38 49
HD104979;G8IIIa;181.30416666666667;8.732972222222223;5.1;4.13;-29.8;4818.0;32.0;1.98;0.1;-0.58;0.08;III;a;1998A&A...338..623M (Mallik);HD 104979 BD+09 2583 SAO 119213 HR 4608 HIP 58948
HD104985;G9III;181.3125;76.90572222222222;6.82;5.8;-19.8;4713.0;25.0;2.47;0.09;-0.33;0.06;III;;Jones..Coude.Feed.Library;HD 104985 BD+77 461 SAO 7500 HR 4609 HIP 58952
HD105043;K2III;181.41666666666663;62.93311111111111;7.35;6.14;-25.8;4399.0;21.0;2.43;0.09;-0.22;0.05;III;;Jones..Coude.Feed.Library;HD 105043 BD+63 999 SAO 15710 HR 4610 HIP 58989
HD105262;B9;181.7958333333333;12.98547222222222;7.1;7.09;41.4;8855.0;;1.82;;-1.61;;;;1987SvA....31...37K (Klochkova);HD 105262 BD+13 2491 SAO 99943 HIP 59099
HD105546;G2IIIw;182.2625;59.01808333333333;9.25;8.64;19.0;5106.0;45.0;2.3;0.13;-1.48;0.11;III;w;2000A&A...354..169G (Gratton);HD 105546 BD+59 1422 SAO 28260 HIP 59239
HD105755;G0Vw;182.56666666666663;54.48813888888889;9.11;8.59;;5788.0;76.0;4.08;0.15;-0.66;0.14;V;w;2000AJ....120.1841F (Fulbright);HD 105755 BD+55 1514 SAO 28272 HIP 59330
HD105944;G7III;182.8708333333333;44.25072222222222;10.71;9.93;;4995.0;45.0;2.39;0.13;-0.7;0.11;III;;2001A&A...380..578T (Tautvaisiene);HD 105944 BD+45 2002 SAO 44070 NGP 45 68
HD106365;K2III;183.52916666666667;32.784194444444445;7.98;6.86;-10.3;4630.0;74.0;2.71;0.25;-0.01;0.16;III;;Jones..Coude.Feed.Library;HD 106365 BD+33 2205 SAO 62904 HIP 59660 NGP 33 63
HD106516;F5V;183.7958333333333;-10.31238888888889;6.57;6.11;8.2;6173.0;28.0;4.31;0.04;-0.73;0.05;V;;1993A&A...275..101E (Edvardsson);HD 106516 BD-09 3468 SAO 157168 HR 4657 HIP 59750
HD106591;A3V;183.8583333333333;57.03261111111111;3.39;3.3;-13.4;8564.0;119.0;3.83;0.14;-0.35;0.15;V;;;HD 106591 BD+57 1363 SAO 28315 HR 4660 HIP 59774
HD106714;G8III;184.0875;23.945416666666667;5.88;4.94;-27.7;4928.0;36.0;2.56;0.1;-0.22;0.08;III;;Jones..Coude.Feed.Library;HD 106714 BD+24 2443 SAO 82211 HR 4667 HIP 59847
HD107113;F4V;184.2125;86.43580555555556;6.76;6.33;-5.5;6456.0;43.0;4.19;0.05;-0.45;0.06;V;;1993A&A...275..101E (Edvardsson);HD 107113 BD+87 107 SAO 2012 HR 4683 HIP 59879
HD107213;F8Vs;184.875;28.156916666666664;6.83;6.33;-7.8;6170.0;48.0;3.96;0.09;0.2;0.06;V;s;1993A&A...275..101E (Edvardsson);HD 107213 BD+28 2106 SAO 82244 HR 4688 HIP 60098
HD107259;A2IV;184.975;-0.6668055555555555;3.93;3.89;2.3;8756.0;77.0;3.54;0.09;-0.17;0.06;IV;;1967ApJS...15...21W (Wolff);HD 107259 BD+00 2926 SAO 138721 HR 4689 HIP 60129
HD107328;K0IIIb;185.0875;3.312583333333333;6.12;5.0;35.7;4420.0;24.0;2.1;0.1;-0.39;0.06;III;b;1990ApJS...74.1075M (McWilliam);HD 107328 BD+04 2604 SAO 119341 HR 4695 HIP 60172
HD107383;G8III;185.17916666666667;17.79286111111111;5.72;4.74;42.4;4806.0;34.0;2.44;0.11;-0.36;0.08;III;;1990ApJS...74.1075M (McWilliam);HD 107383 BD+18 2592 SAO 100053 HR 4697 HIP 60202
HD107418;K0III;185.2333333333333;-13.565722222222224;6.2;5.15;13.4;4753.0;23.0;2.77;0.07;-0.03;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 107418 BD-12 3614 SAO 157226 HR 4699 HIP 60221
HD107752;G5;185.72083333333333;11.607083333333334;10.79;10.07;220.0;4868.0;50.0;1.9;0.15;-2.47;0.1;;;2000ApJ...544..302B (Burris);HD 107752 BD+12 2458 HIP 60387
HD107950;G6III;186.00416666666663;51.56225;5.64;4.77;-12.1;5176.0;30.0;2.48;0.07;-0.02;0.07;III;;1990ApJS...74.1075M (McWilliam);HD 107950 BD+52 1626 SAO 28366 HR 4716 HIP 60485
HD108225;G9III;186.4625;39.01861111111111;5.95;5.02;-3.7;5060.0;26.0;2.85;0.07;0.08;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 108225 BD+39 2521 SAO 63000 HR 4728 HIP 60646 NGP 39 89
HD108317;G0;186.65416666666667;5.3025;8.6;8.04;7.0;5114.0;40.0;2.46;0.12;-2.27;0.09;;;2000AJ....120.1841F (Fulbright);HD 108317 BD+06 2613 SAO 119398 HIP 60719
HD108381;K1III;186.7333333333333;28.268416666666667;5.49;4.35;3.9;4693.0;24.0;2.71;0.08;0.24;0.05;III;;1995AJ....110.2968L (Luck);HD 108381 BD+29 2288 SAO 82313 HR 4737 HIP 60742 NGP 29 93
HD108510;G0;186.97916666666663;-8.677999999999999;7.3;6.69;;6008.0;33.0;4.37;0.06;0.01;0.05;;;2000A&AS..141..491C (Chen);HD 108510 BD-07 3409 SAO 138799 HIP 60816
HD108954;F9V;187.70833333333331;53.07661111111111;6.74;6.22;-21.4;6028.0;31.0;4.35;0.05;-0.12;0.05;V;;1993A&A...275..101E (Edvardsson);HD 108954 BD+53 1554 SAO 28413 HR 4767 HIP 61053
HD108985;K5;187.8375;7.604305555555555;7.61;6.07;-17.2;3960.0;11.0;1.78;0.11;0.01;0.04;;;Jones..Coude.Feed.Library;HD 108985 BD+08 2609 SAO 119453 HR 4770 HIP 61103
HD109303;F8;188.32916666666668;49.30188888888889;8.62;8.15;;6057.0;41.0;4.08;0.07;-0.57;0.07;;;2000A&AS..141..491C (Chen);HD 109303 BD+50 1929 SAO 44226 HIP 61264
HD109317;K0III;188.4125;33.24758333333333;6.42;5.42;-19.9;4862.0;24.0;2.61;0.07;-0.08;0.05;III;;1991ApJS...75..579L (Luck);HD 109317 BD+34 2332 SAO 63070 HR 4783 HIP 61309 NGP 34 90
HD109345;K0III;188.44583333333333;33.38466666666667;7.28;6.25;-42.7;4772.0;22.0;2.55;0.07;-0.09;0.05;III;;Jones..Coude.Feed.Library;HD 109345 BD+34 2333 SAO 63072 HR 4784 HIP 61320 NGP 34 91
HD109358;G0V;188.4375;41.35747222222222;4.85;4.26;6.9;5879.0;27.0;4.34;0.05;-0.24;0.05;V;;1993A&A...275..101E (Edvardsson);HD 109358 BD+42 2321 SAO 44230 HR 4785 HIP 61317
HD109387;B6IIIpe;188.3708333333333;69.78825;3.77;3.88;-11.4;15302.0;1016.0;2.49;0.16;-0.65;0.36;III;pe;;HD 109387 BD+70 703 SAO 7593 HR 4787 HIP 61281
HD109995;A0p;189.7;39.30877777777778;7.64;7.6;-132.0;8441.0;;3.18;;-1.74;;;p;1987MNRAS.226..581A (Adelman);HD 109995 BD+40 2558 SAO 63116 HIP 61696
HD110010;G0;189.32916666666668;79.21547222222223;7.58;7.0;-18.5;5904.0;45.0;4.26;0.08;0.33;0.06;;;1998A&AS..129..237F (Feltzing);HD 110010 BD+80 389 SAO 7614 HIP 61597
HD110014;K2III;189.8125;-7.995555555555556;5.9;4.66;-19.7;4495.0;24.0;2.47;0.09;0.3;0.05;III;;1995AJ....110.2968L (Luck);HD 110014 BD-07 3452 SAO 138892 HR 4813 HIP 61740
HD110184;G5;190.0583333333333;8.527249999999999;9.46;8.31;140.0;4478.0;39.0;0.96;0.13;-2.25;0.08;;;2000AJ....120.1841F (Fulbright);HD 110184 BD+09 2653 SAO 119523 HIP 61824
HD110281;K5;190.26666666666668;-0.6205;11.1;9.39;142.0;4130.0;20.0;0.46;0.08;-1.38;0.05;;;1996AJ....112.1517S (Shetrone);HD 110281 BD+00 2969 SAO 138910 HIP 61899
HD110679;G5III;190.9;25.780638888888888;10.02;9.16;;4994.0;39.0;2.51;0.11;-0.67;0.09;III;;1996AN....317...29T (Tautvaisiene);HD 110679 BD+26 2384 SAO 82460 NGP 26 134
HD110897;G0V;191.2458333333333;39.27891666666667;6.5;6.0;80.9;5844.0;28.0;4.29;0.05;-0.57;0.05;V;;1993A&A...275..101E (Edvardsson);HD 110897 BD+40 2570 SAO 63177 HR 4845 HIP 62207
HD110930;G7IIIw;191.33333333333331;28.68225;10.61;9.71;;5000.0;40.0;2.5;0.11;-0.58;0.1;III;w;2001A&A...380..578T (Tautvaisiene);HD 110930 BD+29 2321 SAO 82474 NGP 29 137
HD111028;K1III-IV;191.59583333333333;9.539694444444445;6.66;5.66;51.5;4803.0;23.0;3.19;0.07;-0.15;0.05;III;#NAME?;1986A&A...161..314C (Cottrell);HD 111028 BD+10 2468 SAO 119580 HR 4849 HIP 62325
HD111335;K5III;191.89166666666668;66.79030555555555;7.05;5.45;8.0;3875.0;9.0;1.47;0.1;-0.05;0.04;III;;;HD 111335 BD+67 764 SAO 15902 HR 4863 HIP 62423
HD111591;K0III;192.57083333333333;22.86341666666667;7.42;6.43;6.0;4843.0;23.0;2.77;0.07;-0.19;0.05;III;;1971A&A....15..123H (Hansen);HD 111591 BD+23 2502 SAO 82523 HR 4873 HIP 62653
HD111721;G6V;192.85416666666663;-13.491166666666668;8.78;7.97;25.0;5072.0;32.0;2.66;0.1;-1.3;0.07;V;;2000A&A...354..169G (Gratton);HD 111721 BD-12 3709 SAO 157552 HIP 62747
HD111765;K4III:;192.90416666666667;3.0567777777777776;7.32;6.02;3.1;4346.0;16.0;2.16;0.08;-0.02;0.04;III;:;;HD 111765 BD+03 2703 SAO 119633 HR 4878 HIP 62757
HD111812;G0IIIp;192.925;27.540722222222225;5.56;4.93;-1.4;5771.0;29.0;3.2;0.07;0.02;0.05;III;p;;HD 111812 BD+28 2156 SAO 82537 HR 4883 HIP 62763
HD112030;G7III;193.29166666666663;32.28666666666666;9.6;8.7;-15.4;4972.0;27.0;2.51;0.08;-0.48;0.06;III;;2001A&A...380..578T (Tautvaisiene);HD 112030 BD+33 2280 SAO 63235 NGP 33 155
HD112127;K2.5III;193.4833333333333;26.78;8.19;6.89;7.3;4447.0;27.0;2.58;0.11;0.3;0.06;III;;1995AJ....110.2968L (Luck);HD 112127 BD+27 2189 SAO 82554 HIP 62944 NGP 27 164
HD112142;M3III;193.5875;-9.539;6.38;4.81;17.6;3525.0;8.0;1.05;0.16;-0.1;0.06;III;;;HD 112142 BD-08 3449 SAO 139033 HR 4902 HIP 62985
HD112300;M3III;193.9;3.397472222222222;4.96;3.38;-17.8;3445.0;6.0;1.05;0.13;-0.03;0.05;III;;1998A&A...338..623M (Mallik);HD 112300 BD+04 2669 SAO 119674 HR 4910 HIP 63090
HD113022;F6Vs;195.1625;18.373;6.62;6.2;0.8;6441.0;27.0;4.11;0.04;0.07;0.03;V;s;1986ApJ...303..724B (Boesgaard);HD 113022 BD+19 2622 SAO 100366 HR 4926 HIP 63497
HD113092;K2III;194.97916666666663;66.59727777777778;6.68;5.38;-30.4;4272.0;20.0;1.5;0.1;-0.72;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 113092 BD+67 773 SAO 15960 HR 4928 HIP 63432
HD113095;K0III;195.29166666666663;17.12313888888889;6.94;5.98;-6.3;4952.0;28.0;2.66;0.08;-0.09;0.06;III;;1982AJ.....87.1679H (Hartkopf);HD 113095 BD+17 2573 SAO 100374 HR 4929 HIP 63533
HD113226;G8III;195.5458333333333;10.959138888888887;3.77;2.83;-14.0;5126.0;29.0;2.82;0.07;0.13;0.06;III;;1999ApJ...521..753T (Thevenin);HD 113226 BD+11 2529 SAO 100384 HR 4932 HIP 63608
HD113436;A3Vn;195.66666666666663;59.71630555555556;6.56;6.51;-23.0;8735.0;115.0;3.67;0.16;-0.37;0.15;V;n;;HD 113436 BD+60 1439 SAO 28613 HR 4936 HIP 63647
HD113515;G8III;196.0;30.467;10.55;9.48;-30.4;4714.0;29.0;2.39;0.1;-0.6;0.07;III;;1982AJ.....87.1679H (Hartkopf);HD 113515 BD+31 2448 SAO 63322
HD113847;K1III;196.46666666666667;45.26855555555556;6.8;5.64;-19.6;4560.0;22.0;2.31;0.08;-0.12;0.05;III;;1989ApJS...71..293B (Brown);HD 113847 BD+46 1847 SAO 44465 HR 4945 HIP 63916
HD113848;F4V;196.5875;21.153388888888887;6.37;6.02;0.6;6680.0;31.0;4.17;0.04;-0.22;0.04;V;;1994AJ....108..271G (Glaspey);HD 113848 BD+21 2487 SAO 82650 HR 4946 HIP 63948
HD113994;G7III;196.59583333333333;62.04186111111111;7.15;6.16;14.7;4785.0;27.0;2.59;0.09;-0.38;0.06;III;;;HD 113994 BD+62 1275 SAO 15985 HR 4953 HIP 63952
HD113996;K5III;196.7958333333333;27.62475;6.31;4.8;-16.4;3998.0;11.0;1.9;0.11;-0.05;0.04;III;;1990ApJS...74.1075M (McWilliam);HD 113996 BD+28 2185 SAO 82659 HR 4954 HIP 64022
HD114038;K1III;196.975;-10.740416666666668;6.29;5.16;-9.1;4621.0;21.0;2.48;0.07;0.02;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 114038 BD-09 3628 SAO 157739 HR 4955 HIP 64078
HD114092;K4III;196.975;27.55594444444445;7.58;6.18;-8.6;4199.0;16.0;2.42;0.1;0.21;0.05;III;;1989ApJS...71..293B (Brown);HD 114092 BD+28 2187 SAO 82665 HR 4956 HIP 64077
HD114113;K3III;197.13333333333333;-8.984388888888889;6.75;5.57;16.0;4507.0;23.0;2.41;0.09;-0.1;0.05;III;;1989ApJS...71..293B (Brown);HD 114113 BD-08 3491 SAO 139175 HR 4957 HIP 64122
HD114203;K0;197.3083333333333;-9.53811111111111;7.33;6.32;;4869.0;28.0;2.63;0.08;-0.13;0.06;;;;HD 114203 BD-08 3495 SAO 139183 HR 4959 HIP 64181
HD114256;K0III;197.3;10.022472222222223;6.82;5.8;-0.4;4834.0;26.0;2.66;0.08;0.01;0.06;III;;;HD 114256 BD+10 2516 SAO 100436 HR 4960 HIP 64179
HD114287;K5III;197.4375;-10.329333333333333;7.47;5.97;-7.3;3992.0;12.0;1.9;0.12;0.06;0.04;III;;;HD 114287 BD-09 3636 SAO 157760 HR 4961 HIP 64224
HD114330;A1IVs+...;197.4875;-5.539;4.38;4.38;-2.9;9550.0;130.0;3.85;0.07;-0.23;0.07;IV;s+...;1987Afz....26...55D (Dobrichev);HD 114330 BD-04 3430 SAO 139189 HR 4963 HIP 64238
HD114357;K3III;197.4125;37.423138888888886;7.19;6.02;-18.8;4426.0;21.0;2.65;0.09;0.14;0.05;III;;;HD 114357 BD+38 2407 SAO 63372 HR 4964 HIP 64212
HD114642;F6V;198.01666666666668;-16.198611111111113;5.5;5.04;-14.1;6401.0;30.0;4.04;0.04;-0.12;0.04;V;;1993A&A...275..101E (Edvardsson);HD 114642 BD-15 3613 SAO 157788 HR 4981 HIP 64407
HD114710;F9.5V;197.96666666666667;27.878194444444446;4.83;4.26;6.1;6004.0;29.0;4.36;0.05;0.03;0.04;V;;1993A&A...275..101E (Edvardsson);HD 114710 BD+28 2193 SAO 82706 HR 4983 HIP 64394
HD114946;G8III/IV;198.5458333333333;-19.93094444444445;6.2;5.33;-45.0;5060.0;26.0;3.23;0.07;-0.37;0.06;III;/IV;1996A&A...314..191G (Gratton);HD 114946 BD-19 3651 SAO 157806 HR 4995 HIP 64577
HD114961;M7III;198.51666666666668;-2.806972222222222;8.33;7.05;-15.0;3080.0;19.0;0.36;0.44;-1.0;0.0;III;;Jones..Coude.Feed.Library;HD 114961 BD-02 3653 SAO 139236 HIP 64569
HD115004;K0III;198.42916666666667;40.15288888888889;5.99;4.93;-21.0;4905.0;24.0;2.37;0.06;0.09;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 115004 BD+40 2633 SAO 44519 HR 4997 HIP 64540
HD115061;K0;198.25;67.30969444444445;8.11;6.96;4.0;4559.0;21.0;2.74;0.08;-0.02;0.05;;;Jones..Coude.Feed.Library;HD 115061 BD+68 717 SAO 16014 HIP 64482
HD115136;K2III;198.36666666666667;67.28797222222222;7.67;6.52;4.2;4611.0;22.0;2.59;0.07;0.03;0.05;III;;Jones..Coude.Feed.Library;HD 115136 BD+68 720 SAO 16018 HIP 64522
HD115202;K1III;198.9958333333333;-19.94311111111111;6.25;5.22;34.2;4791.0;23.0;3.19;0.07;-0.06;0.05;III;;Jones..Coude.Feed.Library;HD 115202 BD-19 3653 SAO 157823 HR 5001 HIP 64725
HD115383;G0Vs;199.19583333333333;9.424166666666666;5.81;5.22;-25.9;6024.0;32.0;4.26;0.06;0.15;0.04;V;s;1993A&A...275..101E (Edvardsson);HD 115383 BD+10 2531 SAO 119847 HR 5011 HIP 64792
HD115444;K0;199.175;36.38130555555556;9.7;9.0;-28.0;4874.0;46.0;1.91;0.14;-2.52;0.1;;;2000ApJ...530..783W (Westin);HD 115444 BD+37 2388 SAO 63442 HIP 64786
HD115539;G8III-IV;199.40833333333333;13.763833333333332;8.17;7.22;-8.4;4902.0;24.0;2.48;0.07;-0.43;0.06;III;#NAME?;Jones..Coude.Feed.Library;HD 115539 BD+14 2593 SAO 100500 HIP 64858
HD115589;G8IV;199.5583333333333;-14.582083333333332;10.7;9.8;;5228.0;74.0;4.42;0.14;0.25;0.13;IV;;1997AJ....114..376C (Castro);HD 115589 BD-13 3685 HIP 64905
HD115604;F3III;199.3875;40.57261111111112;5.01;4.72;7.5;7176.0;47.0;3.61;0.07;0.54;0.04;III;;1985A&A...149..167H (Hauck);HD 115604 BD+41 2380 SAO 44549 HR 5017 HIP 64844
HD115617;G5V;199.6;-18.31119444444445;5.45;4.74;-8.5;5598.0;32.0;4.46;0.06;0.01;0.05;V;;1993A&A...275..101E (Edvardsson);HD 115617 BD-17 3813 SAO 157844 HR 5019 HIP 64924
HD116292;K0III;200.75416666666663;-17.735277777777778;6.34;5.37;-27.1;4955.0;25.0;2.68;0.07;-0.07;0.06;III;;Jones..Coude.Feed.Library;HD 116292 BD-16 3650 SAO 157899 HR 5044 HIP 65301
HD116656;A2V;200.9833333333333;54.92536111111111;2.29;2.27;-5.6;9135.0;139.0;3.89;0.07;-0.03;0.08;V;;1992A&AS...95..273C (Cayrel);HD 116656 BD+55 1598 SAO 28737 HR 5054 HIP 65378
HD116658;B1III-IV+...;201.3;-11.161333333333332;0.91;1.04;1.0;15073.0;1892.0;3.6;0.22;-0.01;0.07;III;-IV+...;;HD 116658 BD-10 3672 SAO 157923 HR 5056 HIP 65474
HD116976;K1IIICN;201.8625;-15.973583333333334;5.85;4.76;-14.1;4796.0;28.0;2.63;0.08;0.2;0.06;III;CN;1995AJ....110.2968L (Luck);HD 116976 BD-15 3668 SAO 157946 HR 5068 HIP 65639
HD117176;G5V;202.1083333333333;13.778777777777776;5.69;5.0;4.9;5502.0;30.0;3.89;0.07;-0.1;0.05;V;;2000A&A...364..249M (Mashonkina);HD 117176 BD+14 2621 SAO 100582 HR 5072 HIP 65721
HD117243;G5III;202.1625;28.448583333333332;8.98;8.34;;5855.0;34.0;4.16;0.07;0.24;0.05;III;;1998A&AS..129..237F (Feltzing);HD 117243 BD+29 2410 HIP 65747
HD117818;K0III;203.24166666666667;-10.165;6.17;5.21;-0.9;4904.0;24.0;2.53;0.07;-0.32;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 117818 BD-09 3711 SAO 139401 HR 5100 HIP 66098
HD117876;G8III;203.2;24.34675;7.07;6.11;6.2;4766.0;29.0;2.5;0.1;-0.46;0.07;III;;1986A&A...161..314C (Cottrell);HD 117876 BD+25 2643 SAO 82875 HR 5102 HIP 66086
HD118055;K0w...;203.66666666666663;-16.322972222222223;10.1;8.89;-101.0;4380.0;27.0;0.78;0.1;-1.86;0.07;;w...;2000A&A...354..169G (Gratton);HD 118055 BD-15 3695 SAO 158018 HIP 66246
HD118098;A3V;203.675;-0.5958333333333333;3.48;3.4;-13.2;8347.0;77.0;3.93;0.09;-0.26;0.1;V;;;HD 118098 BD+00 3076 SAO 139420 HR 5107 HIP 66249
HD118100;K5Ve;203.67916666666667;-8.342027777777778;10.51;9.31;-19.0;4239.0;25.0;4.53;0.07;-0.17;0.08;V;e;1977ApJ...215..188H (Hartmann);HD 118100 BD-07 3646 SAO 139419 HIP 66252
HD118244;F5V;203.7958333333333;22.499722222222225;7.34;6.99;;6343.0;43.0;4.21;0.05;-0.5;0.06;V;;2000A&AS..141..491C (Chen);HD 118244 BD+23 2587 SAO 82888 HIP 66290
HD118266;K1III+...;203.8875;10.20497222222222;7.53;6.49;32.7;4746.0;22.0;2.76;0.07;-0.13;0.05;III;+...;Jones..Coude.Feed.Library;HD 118266 BD+10 2565 SAO 100630 HR 5114 HIP 66326
HD119516;G5;205.8625;15.575305555555556;9.52;9.13;-287.0;5315.0;52.0;2.62;0.15;-1.84;0.13;;;2001A&A...380..578T (Tautvaisiene);HD 119516 BD+16 2544 SAO 100675 HIP 66959
HD120136;F6IV;206.81666666666663;17.456916666666665;4.98;4.5;-15.6;6318.0;33.0;4.15;0.05;0.2;0.04;IV;;2000AJ....119..390G (Gonzalez);HD 120136 BD+18 2782 SAO 100706 HR 5185 HIP 67275
HD120164;K0III+...;206.75;38.54269444444444;6.55;5.51;-10.2;4797.0;22.0;2.58;0.07;-0.1;0.05;III;+...;Jones..Coude.Feed.Library;HD 120164 BD+39 2680 SAO 63739 HR 5186 HIP 67250
HD120315;B3V;206.88333333333333;49.31327777777778;1.75;1.85;-10.9;17291.0;336.0;3.86;0.08;-0.14;0.07;V;;;HD 120315 BD+50 2027 SAO 44752 HR 5191 HIP 67301
HD120348;K1III;207.02083333333331;42.04747222222222;7.69;6.59;-0.9;4659.0;20.0;2.44;0.07;-0.17;0.05;III;;Jones..Coude.Feed.Library;HD 120348 BD+42 2440 SAO 44754 HIP 67338
HD120452;K0III;207.46666666666667;-18.134166666666665;6.02;4.97;-39.7;4821.0;26.0;2.65;0.08;0.01;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 120452 BD-17 3937 SAO 158186 HR 5196 HIP 67494
HD120933;K5III;207.94583333333333;34.44425;6.42;4.77;-43.6;3509.0;6.0;1.01;0.11;-0.11;0.04;III;;1990ApJS...74.1075M (McWilliam);HD 120933 BD+35 2496 SAO 63793 HR 5219 HIP 67665
HD121146;K2IV;207.7458333333333;68.31530555555555;7.59;6.4;-45.4;4385.0;20.0;2.7;0.08;-0.08;0.05;IV;;1995AJ....110.2968L (Luck);HD 121146 BD+69 724 SAO 16197 HR 5227 HIP 67589
HD121299;K2III;208.675;-1.503111111111111;6.26;5.16;-6.9;4756.0;24.0;2.66;0.07;0.13;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 121299 BD-00 2758 SAO 139613 HR 5232 HIP 67929
